metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2,categoria
120,102459,"Venta de Casa Laguna en León Febres Cordero, Cerca del C. C Riocentro El Dorado.",-2.0412082,-79.88794589999998,853.825,B
112,112000,"Casa en Venta en Urb. La Joya Etapa Oro, Nueva Etapa",-2.028697862200196,-79.92173041645509,1000.0,B
324,388000,"Casa Enstancia del Rio, Samborondón",-2.1261184,-79.8766916,1197.530864197531,A
854,300000,Casa Esquinera en Lomas de Urdesa - C. Suárez - A. Cobos,-2.165891302729015,-79.90266371531374,351.288056206089,C
113,112000,Venta de Casa en La Joya Esquinera a Estrenar (única Etapa con Club Panorámico),-2.046665273653481,-79.9114201526184,991.1504424778761,B
156,130000,Venta Samborondon Casa en Villa de Estreno Moderna,-2.0295738,-79.90413949999999,833.3333333333334,B
258,260000,Venta Hermosa Casa en Kennedy Norte - F. Rodríguez,-2.153638790700234,-79.90195914337323,1007.7519379844962,A
147,96000,"Casa en Venta en La Urbanización La Joya, Vía Samborondón",-2.0495844,-79.9146923,653.0612244897959,B
255,270000,Puerto Azul Hermosa Casa 2 Plantas,-2.193315405883491,-79.97136377883834,1058.8235294117646,A
297,230000,Espectacular Vivienda Remodelada en Ciudad Celeste,-2.074589295375011,-79.85734945725494,774.4107744107744,B
1700,1300000,Venta de Casa en Urb. Biblos,-2.135306816597971,-79.86609238567507,764.7058823529412,B
470,210000,Vendo Casa Lomas de Urdesa - F. Brito,-2.163800672884859,-79.90432400269395,446.8085106382979,C
364,285000,Casa de Venta Esquinera en La Urbanización Terranostra con 4 Dorm..,-2.187669659405457,-80.00269257409667,782.967032967033,B
450,485000,Mocoli Casa de Estreno en Venta,-2.101386821815872,-79.85859482485353,1077.7777777777778,A
276,165000,En Venta Amplio Departamento en Lomas de Urdesa - K. Salamea,-2.163800672884859,-79.90432400269395,597.8260869565217,B
142,96990,Casa en Venta en Fuentes del Rio - 3 Dorm.,-2.0581715,-79.87063369999998,683.0281690140845,B
396,160000,"Casa Rentera de 3 Pisos, 2 Departamentos y Terraza",-2.12654888551479,-79.90302739629516,404.04040404040404,C
210,105000,Formidable Casa en Samanes,-2.113597360295507,-79.90868269037571,500.0,C
500,420000,Laguna del Sol Se Vende Hermosa Casa,-2.083200972101952,-79.87290416165467,840.0,B
472,210000,En Venta Casa con Uso de Suelo Comercial - I. Alarcón,-2.1647707,-79.920504,444.91525423728814,C
180,149000,En Venta Casa en Urb. Terranostra Via a La Costa - E. Salcedo,-2.1880985,-79.99968849999999,827.7777777777778,B
495,399000,"Moderna Casa en El Km 9, 4 Dorm. Acabados de Primera",-2.075939203530357,-79.8746686002197,806.060606060606,B
238,140000,En Venta Casa en Vía a La Costa Urb. Casa Club - A. Salvador,-2.1804425,-79.9867567,588.2352941176471,B
